iter	Passed	Remaining
0	94	94589
1	95	47661
2	96	31975
3	97	24162
4	98	19551
5	99	16402
6	99	14154
7	100	12494
8	102	11258
9	102	10183
10	103	9298
11	104	8563
12	104	7936
13	105	7395
14	105	6927
15	105	6516
16	106	6159
17	107	5862
18	108	5597
19	109	5350
20	110	5129
21	110	4927
22	111	4742
23	112	4567
24	112	4401
25	113	4246
26	113	4100
27	114	3975
28	115	3852
29	115	3738
30	116	3629
31	116	3528
32	117	3433
33	117	3342
34	118	3260
35	118	3186
36	119	3114
37	120	3047
38	121	2987
39	121	2922
40	122	2862
41	122	2801
42	123	2744
43	123	2691
44	124	2644
45	125	2599
46	126	2558
47	127	2523
48	127	2483
49	128	2444
50	129	2406
51	130	2370
52	130	2333
53	131	2296
54	131	2260
55	132	2225
56	132	2192
57	133	2161
58	133	2134
59	134	2106
60	135	2078
61	135	2049
62	135	2021
63	136	1994
64	136	1969
65	137	1945
66	138	1922
67	138	1900
68	139	1879
69	139	1859
70	140	1840
71	141	1819
72	141	1800
73	142	1780
74	142	1759
75	143	1740
76	143	1721
77	144	1703
78	144	1686
79	145	1670
80	145	1654
81	146	1641
82	146	1623
83	147	1608
84	148	1593
85	148	1578
86	149	1565
87	149	1551
88	150	1537
89	150	1523
90	151	1509
91	151	1497
92	152	1486
93	153	1476
94	153	1465
95	154	1454
96	155	1445
97	156	1437
98	157	1429
99	157	1421
100	158	1412
101	159	1402
102	159	1391
103	160	1380
104	160	1369
105	161	1358
106	161	1349
107	162	1341
108	163	1335
109	164	1329
110	165	1323
111	166	1316
112	166	1308
113	167	1301
114	167	1292
115	168	1283
116	168	1273
117	169	1264
118	169	1255
119	170	1246
120	170	1239
121	171	1231
122	171	1225
123	172	1217
124	172	1209
125	173	1202
126	173	1194
127	174	1188
128	174	1181
129	175	1174
130	175	1167
131	176	1161
132	177	1154
133	177	1148
134	178	1142
135	178	1135
136	179	1129
137	179	1122
138	180	1116
139	180	1110
140	181	1104
141	181	1097
142	182	1093
143	183	1088
144	183	1083
145	184	1079
146	185	1074
147	185	1069
148	186	1064
149	187	1059
150	187	1056
151	188	1052
152	189	1049
153	190	1045
154	190	1040
155	191	1035
156	192	1031
157	192	1026
158	193	1021
159	193	1016
160	194	1011
161	194	1006
162	195	1002
163	195	997
164	196	993
165	196	989
166	197	984
167	197	980
168	198	975
169	198	971
170	199	966
171	199	962
172	200	958
173	201	954
174	201	951
175	202	947
176	203	944
177	203	941
178	204	937
179	205	933
180	205	930
181	206	926
182	206	923
183	207	920
184	208	916
185	208	912
186	209	909
187	209	906
188	210	902
189	210	898
190	211	894
191	211	890
192	212	887
193	212	884
194	213	880
195	213	877
196	214	874
197	214	870
198	215	866
199	215	863
200	216	860
201	217	857
202	217	854
203	218	851
204	219	849
205	219	847
206	220	844
207	221	841
208	221	839
209	222	836
210	222	833
211	223	830
212	223	826
213	224	823
214	224	821
215	225	818
216	226	816
217	226	812
218	227	809
219	227	806
220	228	804
221	228	801
222	229	798
223	229	796
224	230	793
225	231	791
226	231	788
227	232	786
228	232	783
229	233	780
230	233	777
231	234	774
232	234	772
233	235	770
234	235	767
235	236	764
236	236	761
237	237	759
238	237	756
239	238	754
240	238	751
241	239	748
242	239	746
243	240	743
244	240	741
245	241	739
246	241	737
247	242	734
248	242	731
249	243	730
250	244	728
251	244	726
252	245	724
253	246	722
254	246	721
255	247	720
256	248	718
257	249	716
258	249	714
259	250	712
260	250	709
261	251	707
262	251	705
263	252	702
264	252	700
265	253	698
266	253	696
267	254	694
268	254	692
269	255	690
270	255	688
271	256	686
272	256	684
273	257	681
274	257	679
275	258	677
276	258	675
277	259	673
278	260	672
279	260	670
280	261	668
281	261	665
282	261	663
283	262	661
284	262	659
285	263	657
286	264	656
287	264	654
288	265	653
289	266	653
290	267	651
291	268	650
292	268	648
293	269	647
294	270	646
295	271	644
296	271	643
297	272	643
298	273	641
299	274	639
300	274	637
301	275	636
302	276	635
303	276	633
304	277	632
305	278	630
306	278	629
307	279	627
308	279	625
309	280	624
310	280	622
311	281	620
312	281	618
313	282	616
314	282	615
315	283	613
316	283	611
317	284	610
318	285	608
319	285	607
320	286	605
321	287	604
322	287	602
323	288	601
324	288	599
325	289	598
326	290	596
327	290	595
328	290	593
329	291	591
330	292	590
331	292	588
332	293	587
333	293	585
334	294	584
335	294	582
336	295	581
337	296	579
338	296	578
339	297	576
340	297	575
341	298	574
342	299	572
343	299	571
344	300	569
345	300	568
346	301	566
347	301	564
348	301	563
349	302	561
350	302	560
351	303	558
352	304	557
353	304	556
354	305	554
355	305	553
356	306	551
357	306	550
358	307	548
359	307	547
360	308	546
361	309	544
362	309	543
363	310	542
364	311	541
365	311	539
366	312	538
367	312	536
368	313	535
369	313	533
370	313	532
371	314	530
372	314	529
373	315	527
374	315	526
375	316	525
376	317	524
377	317	522
378	318	521
379	318	520
380	319	518
381	319	517
382	320	515
383	320	514
384	321	513
385	322	512
386	322	511
387	323	510
388	323	508
389	324	507
390	324	506
391	325	504
392	325	503
393	326	502
394	327	500
395	327	499
396	328	498
397	328	497
398	329	496
399	329	494
400	330	493
401	331	492
402	331	491
403	332	489
404	332	488
405	333	487
406	333	485
407	333	484
408	334	483
409	335	482
410	335	481
411	336	480
412	337	479
413	337	478
414	338	477
415	339	475
416	339	474
417	340	473
418	341	472
